time,position,velocity
0,1,0
0.2,1,-0.2
0.4,0.96,-0.4
0.6,0.88,-0.592
0.8,0.7616,-0.768
1,0.608,-0.92032
1.2,0.423936,-1.04192
1.4,0.215552,-1.12671
1.6,-0.00978948,-1.16982
1.8,-0.243753,-1.16786
2,-0.477325,-1.11911
2.2,-0.701147,-1.02364
2.4,-0.905876,-0.883415
2.6,-1.08256,-0.70224
2.8,-1.22301,-0.485728
3,-1.32015,-0.241127
3.2,-1.36838,0.0229037
3.4,-1.3638,0.296579
3.6,-1.30448,0.569339
3.8,-1.19061,0.830235
4,-1.02457,1.06836
4.2,-0.810895,1.27327
4.4,-0.556241,1.43545
4.6,-0.269151,1.5467
4.8,0.0401889,1.60053
5,0.360294,1.59249
5.2,0.678792,1.52043
5.4,0.982879,1.38467
5.6,1.25981,1.1881
5.8,1.49743,0.936134
6,1.68466,0.636648
6.2,1.81199,0.299716
6.4,1.87193,-0.062682
6.6,1.8594,-0.437068
6.8,1.77198,-0.808948
7,1.61019,-1.16334
7.2,1.37752,-1.48538
7.4,1.08045,-1.76089
7.6,0.72827,-1.97698
7.8,0.332874,-2.12263
8,-0.0916519,-2.18921
8.2,-0.529493,-2.17088
8.4,-0.963668,-2.06498
8.6,-1.37666,-1.87224
8.8,-1.75111,-1.59691
9,-2.07049,-1.24669
9.2,-2.31983,-0.832589
9.4,-2.48635,-0.368623
9.6,-2.56007,0.128647
9.8,-2.53434,0.640662
10,-2.40621,1.14753
10.2,-2.17671,1.62877
10.4,-1.85095,2.06411
10.6,-1.43813,2.4343
10.8,-0.951267,2.72193
11,-0.406881,2.91218
11.2,0.175556,2.99356
11.4,0.774268,2.95845
11.6,1.36596,2.8036
11.8,1.92668,2.5304
12,2.43276,2.14507
12.2,2.86177,1.65852
12.4,3.19347,1.08616
12.6,3.41071,0.447468
12.8,3.5002,-0.234673
13,3.45327,-0.934714
13.2,3.26632,-1.62537
13.4,2.94125,-2.27863
13.6,2.48552,-2.86688
13.8,1.91215,-3.36399
14,1.23935,-3.74642
14.2,0.490067,-3.99429
14.4,-0.30879,-4.0923
14.6,-1.12725,-4.03054
14.8,-1.93336,-3.80509
15,-2.69438,-3.41842
15.2,-3.37806,-2.87954
15.4,-3.95397,-2.20393
15.6,-4.39476,-1.41314
15.8,-4.67738,-0.534186
16,-4.78422,0.40129
16.2,-4.70396,1.35813
16.4,-4.43234,2.29893
16.6,-3.97255,3.18539
16.8,-3.33547,3.9799
17,-2.53949,4.647
17.2,-1.61009,5.1549
17.4,-0.579112,5.47691
17.6,0.516271,5.59274
17.8,1.63482,5.48948
18,2.73272,5.16252
18.2,3.76522,4.61598
18.4,4.68841,3.86293
18.6,5.461,2.92525
18.8,6.04605,1.83305
19,6.41266,0.623839
19.2,6.53743,-0.658693
19.4,6.40569,-1.96618
19.6,6.01245,-3.24732
19.8,5.36299,-4.44981
